DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,INDICE_VULNERABILIDAD_INTEGRADO,EXPOSICION_NORMALIZACION_BASE_100,AMENAZA_LLUVIOSA_NORMALIZACION_BASE_100,SUMA_RIESGO_LLUVIOSO,RIESGO_LLUVIOSO_NORMALIZACION_BASE_100,CATEGORIA_RIESGO_LLUVIOSO
San Joaquín       ,40801,66,27,12,15,13.24655839915331,1.7814726840855106,37.886,52.914031083238825,18.580266730751237,Bajo-medio
San Joaquín       ,40801,827,56,29,27,6.707171436623859,5.225653206650831,39.995,51.92782464327469,18.05687830861482,Bajo-medio
San Joaquín       ,40801,1326,37,15,22,10.893645219067423,2.9691211401425175,46.377,60.239766359209945,22.468098802927774,Medio
San Joaquín       ,40801,2136,108,46,62,11.644279867882963,11.401425178147269,35.875,58.920705046030236,21.768061375235227,Bajo-medio
San Joaquín       ,40801,3233,186,92,94,28.229002753698744,20.665083135391924,35.579,84.47308588909067,35.32893438247756,Medio
San Joaquín       ,40801,4074,34,14,20,6.682488345512745,2.6128266033254155,48.439,57.73431494883816,21.138433727467877,Bajo-medio
San Joaquín       ,40801,5668,41,18,23,6.091706021689052,3.44418052256532,51.494,61.02988654425437,22.887422526836506,Medio
San Joaquín       ,40801,5709,62,30,32,10.458414754684984,5.938242280285035,50.845,67.24165703497002,26.184063700592635,Medio
San Joaquín       ,40801,6383,259,145,114,28.28671174016126,29.334916864608076,57.541,115.16262860476934,51.61614432873522,Alto-medio
San Joaquín       ,40801,6611,202,97,105,24.44196468356652,22.565320665083135,30.993,78.00028534864965,31.893762268018065,Medio
San Joaquín       ,40801,6774,79,37,42,11.458049765582068,7.957244655581948,35.178,54.59329442116402,19.471466537578863,Bajo-medio
San Joaquín       ,40801,6826,25,12,13,6.267910414131131,1.5439429928741093,50.801,58.61285340700524,21.604681805733268,Bajo-medio
San Joaquín       ,40801,7126,83,39,44,10.792459934683842,8.432304038004752,53.044,72.26876397268859,28.851993518754483,Medio
San Joaquín       ,40801,7197,84,42,42,9.615810109145675,8.551068883610451,35.32,53.486878992756125,18.884282149163337,Bajo-medio
San Joaquín       ,40801,8065,95,52,43,8.507687093672246,9.85748218527316,56.572,74.9371692789454,30.268139658413624,Medio
San Joaquín       ,40801,9368,115,54,61,8.035232324118821,12.232779097387175,53.65,73.918011421506,29.727263629524032,Medio
San Joaquín       ,40801,9794,77,37,40,15.95910352411291,7.719714964370546,36.675,60.353818488483455,22.528627269953333,Medio
San Joaquín       ,40801,10097,12,6,6,18.411176142596222,0.0,49.989,68.40017614259622,26.7988999693331,Medio
San Joaquín       ,40801,10702,210,112,98,19.06473736276276,23.51543942992874,46.631,89.2111767926915,37.84348085214443,Alto-medio
