DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,INDICE_VULNERABILIDAD_INTEGRADO,EXPOSICION_NORMALIZACION_BASE_100,AMENAZA_SECA_NORMALIZACION_BASE_100,SUMA_RIESGO_SECO,RIESGO_SECO_NORMALIZACION_BASE_100,CATEGORIA_RIESGO_SECO
San Joaquín       ,40801,66,27,12,15,13.24655839915331,1.7814726840855106,59.788,74.81603108323881,22.93134273004212,Medio
San Joaquín       ,40801,827,56,29,27,6.707171436623859,5.225653206650831,59.357,71.28982464327468,21.68709429125878,Medio
San Joaquín       ,40801,1326,37,15,22,10.893645219067423,2.9691211401425175,52.362,66.22476635920994,19.899850416121886,Bajo-medio
San Joaquín       ,40801,2136,108,46,62,11.644279867882963,11.401425178147269,63.24,86.28570504603023,26.978503372656764,Medio
San Joaquín       ,40801,3233,186,92,94,28.229002753698744,20.665083135391924,64.219,113.11308588909066,36.44474628807822,Alto-medio
San Joaquín       ,40801,4074,34,14,20,6.682488345512745,2.6128266033254155,51.86,61.15531494883816,18.111056393356943,Bajo-medio
San Joaquín       ,40801,5668,41,18,23,6.091706021689052,3.44418052256532,48.74,58.27588654425438,17.095028444344347,Bajo-medio
San Joaquín       ,40801,5709,62,30,32,10.458414754684984,5.938242280285035,49.421,65.81765703497001,19.756198831983543,Bajo-medio
San Joaquín       ,40801,6383,259,145,114,28.28671174016126,29.334916864608076,34.848,92.46962860476933,29.160547267283338,Medio
San Joaquín       ,40801,6611,202,97,105,24.44196468356652,22.565320665083135,68.334,115.34128534864966,37.230983210407246,Alto-medio
San Joaquín       ,40801,6774,79,37,42,11.458049765582068,7.957244655581948,64.667,84.08229442116402,26.201013376916105,Medio
San Joaquín       ,40801,6826,25,12,13,6.267910414131131,1.5439429928741093,49.466,57.27785340700524,16.742864952495893,Bajo-medio
San Joaquín       ,40801,7126,83,39,44,10.792459934683842,8.432304038004752,47.042,66.2667639726886,19.91466958961417,Medio
San Joaquín       ,40801,7197,84,42,42,9.615810109145675,8.551068883610451,64.295,82.46187899275613,25.62923761695877,Medio
San Joaquín       ,40801,8065,95,52,43,8.507687093672246,9.85748218527316,41.732,60.0971692789454,17.737681742670638,Bajo-medio
San Joaquín       ,40801,9368,115,54,61,8.035232324118821,12.232779097387175,45.2,65.46801142150599,19.632823749983388,Bajo-medio
San Joaquín       ,40801,9794,77,37,40,15.95910352411291,7.719714964370546,62.04,85.71881848848346,26.778473191156106,Medio
San Joaquín       ,40801,10097,12,6,6,18.411176142596222,0.0,49.878,68.28917614259622,20.628292920473264,Medio
San Joaquín       ,40801,10702,210,112,98,19.06473736276276,23.51543942992874,53.381,95.9611767926915,30.392566281406385,Medio
San Joaquín       ,40801,10897,32,20,12,18.503896829039874,2.375296912114014,50.048,70.92719374115389,21.559137252582687,Medio
San Joaquín       ,40801,11617,32,15,17,9.288003244361859,2.375296912114014,63.868,75.53130015647588,23.183730797172494,Medio
San Joaquín       ,40801,12674,21,9,12,11.64342508837939,1.0688836104513064,62.885,75.59730869883069,23.20702240734044,Medio
San Joaquín       ,40801,12693,49,25,24,10.849261533810289,4.394299287410926,55.942,71.18556082122122,21.65030401819328,Medio
San Joaquín       ,40801,13193,62,29,33,10.427064927016014,5.938242280285035,49.37,65.73530720730105,19.727141076501642,Bajo-medio
San Joaquín       ,40801,13267,54,29,25,17.355435518186795,4.98812351543943,38.2,60.543559033626224,17.895193721849072,Bajo-medio
San Joaquín       ,40801,14925,224,104,120,22.840885249539223,25.17814726840855,58.448,106.46703251794779,34.09963641663253,Alto-medio
San Joaquín       ,40801,16926,66,28,38,18.875402415879552,6.413301662707839,50.13,75.4187040785874,23.144000425025794,Medio
San Joaquín       ,40801,17198,51,22,29,2.5202777013682667,4.631828978622328,58.856,66.00810667999059,19.823400420296142,Bajo-medio
San Joaquín       ,40801,17229,155,76,79,8.798444623413218,16.983372921615203,49.399,75.18081754502842,23.060060374144555,Medio
San Joaquín       ,40801,17230,145,70,75,9.056056911253933,15.795724465558195,56.507,81.35878137681212,25.240001334332636,Medio
San Joaquín       ,40801,17975,60,27,33,5.677622806940383,5.7007125890736345,64.028,75.40633539601403,23.13963604243965,Medio
San Joaquín       ,40801,18658,83,36,47,14.932927924868888,8.432304038004752,62.787,86.15223196287364,26.931406392328277,Medio
San Joaquín       ,40801,19532,366,179,187,28.011569406836458,42.042755344418055,47.438,117.49232475125451,37.9899936268478,Alto-medio
San Joaquín       ,40801,20369,77,39,38,18.246926744767038,7.719714964370546,53.913,79.87964170913759,24.718075788117236,Medio
San Joaquín       ,40801,20401,164,78,86,16.510078604185665,18.052256532066508,29.45,64.01233513625218,19.1191774345625,Bajo-medio
San Joaquín       ,40801,21279,37,18,19,10.30333289818618,2.9691211401425175,56.248,69.5204540383287,21.062758577988525,Medio
San Joaquín       ,40801,21672,138,65,73,19.760230893492132,14.964370546318289,29.717,64.44160143981043,19.270647275344164,Bajo-medio
San Joaquín       ,40801,22577,340,162,178,42.23870078940086,38.95486935866984,51.305,132.4985701480707,43.285060074284196,Alto-medio
San Joaquín       ,40801,22709,23,11,12,11.290805057604308,1.3064133016627077,36.381,48.97821835926702,13.81427636120377,Bajo-medio
San Joaquín       ,40801,22898,54,27,27,7.615477584336953,4.98812351543943,65.554,78.15760109977639,24.11044081943373,Medio
San Joaquín       ,40801,23271,107,51,56,13.072906492767231,11.282660332541568,29.45,53.8055668253088,15.517642540864179,Bajo-medio
San Joaquín       ,40801,23500,236,122,114,46.21582515208741,26.60332541567696,33.561,106.38015056776436,34.06897946766635,Alto-medio
San Joaquín       ,40801,24522,183,97,86,21.956117372503677,20.30878859857482,32.054,74.3189059710785,22.75592839874399,Medio
San Joaquín       ,40801,24749,89,48,41,7.61312556496926,9.144893111638956,60.18,76.93801867660821,23.680101997294308,Medio
San Joaquín       ,40801,24831,79,33,46,16.971160433092265,7.957244655581948,59.655,84.58340508867421,26.3778340413675,Medio
San Joaquín       ,40801,25545,12,6,6,13.2429631897784,0.0,36.382,49.6249631897784,14.04248513438699,Bajo-medio
San Joaquín       ,40801,25963,219,90,129,20.37135082468316,24.584323040380045,34.9,79.85567386506321,24.70961855423763,Medio
San Joaquín       ,40801,26446,171,80,91,17.562662393364736,18.883610451306414,36.809,73.25527284467114,22.38061745779294,Medio
San Joaquín       ,40801,27026,36,17,19,3.705135826236688,2.8503562945368173,64.575,71.13049212077351,21.630872613445863,Medio
